Team,played,won,draw,loss,gf,ga,gd,pts,win_ratio,draw_ratio,loss_ratio,defence_attr,attack_attr
0,Juventus,38,30,5,3,86,24,62,95.0,0.7894736842105263,0.13157894736842105,0.07894736842105263,1.0,0.95
1,Napoli,38,28,7,3,77,29,48,91.0,0.7368421052631579,0.18421052631578946,0.07894736842105263,0.9166666666666666,0.8
2,Roma,38,23,8,7,61,28,33,77.0,0.6052631578947368,0.21052631578947367,0.18421052631578946,0.9333333333333333,0.5333333333333333
3,Inter,38,20,12,6,66,30,36,72.0,0.5263157894736842,0.3157894736842105,0.15789473684210525,0.9,0.6166666666666667
4,Lazio,38,21,9,8,89,49,40,72.0,0.5526315789473685,0.23684210526315788,0.21052631578947367,0.5833333333333334,1.0
5,Milan,38,18,10,10,56,42,14,64.0,0.47368421052631576,0.2631578947368421,0.2631578947368421,0.7,0.45
6,Atalanta,38,16,12,10,57,39,18,60.0,0.42105263157894735,0.3157894736842105,0.2631578947368421,0.75,0.4666666666666667
7,Fiorentina,38,16,9,13,54,46,8,57.0,0.42105263157894735,0.23684210526315788,0.34210526315789475,0.6333333333333333,0.4166666666666667
8,Torino,38,13,15,10,54,46,8,54.0,0.34210526315789475,0.39473684210526316,0.2631578947368421,0.6333333333333333,0.4166666666666667
9,Sampdoria,38,16,6,16,56,60,-4,54.0,0.42105263157894735,0.15789473684210525,0.42105263157894735,0.4,0.45
10,Sassuolo,38,11,10,17,29,59,-30,43.0,0.2894736842105263,0.2631578947368421,0.4473684210526316,0.4166666666666667,0.0
11,Genoa,38,11,8,19,33,43,-10,41.0,0.2894736842105263,0.21052631578947367,0.5,0.6833333333333333,0.06666666666666667
12,Chievo Verona,38,10,10,18,36,59,-23,40.0,0.2631578947368421,0.2631578947368421,0.47368421052631576,0.4166666666666667,0.11666666666666667
13,Udinese,38,12,4,22,48,63,-15,40.0,0.3157894736842105,0.10526315789473684,0.5789473684210527,0.35,0.31666666666666665
14,Bologna,38,11,6,21,40,52,-12,39.0,0.2894736842105263,0.15789473684210525,0.5526315789473685,0.5333333333333333,0.18333333333333332
15,Cagliari,38,11,6,21,33,61,-28,39.0,0.2894736842105263,0.15789473684210525,0.5526315789473685,0.38333333333333336,0.06666666666666667
16,Ferrara (SPAL),38,8,14,16,39,59,-20,38.0,0.21052631578947367,0.3684210526315789,0.42105263157894735,0.4166666666666667,0.16666666666666666
17,Crotone,38,9,8,21,40,66,-26,35.0,0.23684210526315788,0.21052631578947367,0.5526315789473685,0.3,0.18333333333333332
18,Hellas Verona,38,7,4,27,30,78,-48,25.0,0.18421052631578946,0.10526315789473684,0.7105263157894737,0.1,0.016666666666666666
